 time (at Rp)  nbod    mass/mp
  0.64800E+09    34   0.13188E-03
  0.64900E+09    35   0.13204E-03
  0.65000E+09    35   0.13204E-03
  0.65100E+09    36   0.13254E-03
  0.65200E+09    36   0.13254E-03
  0.65300E+09    36   0.13256E-03
  0.65400E+09    35   0.13256E-03
  0.65500E+09    35   0.13256E-03
  0.65600E+09    34   0.13315E-03
  0.65700E+09    34   0.13315E-03
  0.65800E+09    35   0.13324E-03
  0.65900E+09    34   0.13324E-03
  0.66000E+09    34   0.13333E-03
  0.66100E+09    34   0.13333E-03
  0.66200E+09    34   0.13344E-03
  0.66300E+09    34   0.13344E-03
  0.66400E+09    35   0.13366E-03
  0.66500E+09    35   0.13366E-03
  0.66600E+09    36   0.13435E-03
  0.66700E+09    36   0.13435E-03
  0.66800E+09    36   0.13435E-03
  0.66900E+09    37   0.13443E-03
  0.67000E+09    36   0.13438E-03
  0.67100E+09    36   0.13445E-03
  0.67200E+09    36   0.13445E-03
  0.67300E+09    36   0.13445E-03
  0.67400E+09    35   0.13445E-03
  0.67500E+09    35   0.13445E-03
  0.67600E+09    35   0.13448E-03
  0.67700E+09    35   0.13448E-03
  0.67800E+09    35   0.13450E-03
  0.67900E+09    35   0.13450E-03
  0.68000E+09    35   0.13450E-03
  0.68100E+09    35   0.13638E-03
  0.68200E+09    35   0.13638E-03
  0.68300E+09    36   0.13688E-03
  0.68400E+09    34   0.13688E-03
  0.68500E+09    33   0.13688E-03
  0.68600E+09    34   0.13690E-03
  0.68700E+09    34   0.13690E-03
  0.68800E+09    35   0.13698E-03
  0.68900E+09    35   0.13698E-03
  0.69000E+09    36   0.13703E-03
  0.69100E+09    36   0.13703E-03
  0.69200E+09    36   0.13703E-03
  0.69300E+09    37   0.13707E-03
  0.69400E+09    37   0.13707E-03
  0.69500E+09    38   0.13765E-03
  0.69600E+09    38   0.13765E-03
  0.69700E+09    38   0.13765E-03
  0.69800E+09    39   0.13790E-03
  0.69900E+09    39   0.13790E-03
  0.70000E+09    40   0.13872E-03
  0.70100E+09    40   0.13872E-03
  0.70200E+09    39   0.13872E-03
  0.70300E+09    39   0.13874E-03
  0.70400E+09    39   0.13874E-03
  0.70500E+09    40   0.13884E-03
  0.70600E+09    40   0.13884E-03
  0.70700E+09    39   0.13893E-03
  0.70800E+09    39   0.13893E-03
  0.70900E+09    39   0.13893E-03
  0.71000E+09    39   0.13901E-03
  0.71100E+09    38   0.13901E-03
  0.71200E+09    39   0.13903E-03
  0.71300E+09    39   0.13903E-03
  0.71400E+09    38   0.13903E-03
  0.71500E+09    36   0.13909E-03
  0.71600E+09    35   0.13909E-03
  0.71700E+09    36   0.13912E-03
  0.71800E+09    35   0.13912E-03
  0.71900E+09    36   0.14062E-03
  0.72000E+09    36   0.14062E-03
